,tweet_id,text,favorite_count,retweet_count,created_at
0,1287438186575097856,"RT @Connect_IISc: How can AI help in the fight against COVID-19? 

IISc researchers and industry partners have developed several AI-driven…",0,12,Sun Jul 26 17:22:37 +0000 2020
1,1287438129842892800,"RT @VinayarajAC: When the COVID-19 cases were reporting less, Govt has cancelled exams &amp; now cases are reporting high, decided to conduct t…",0,714,Sun Jul 26 17:22:24 +0000 2020
2,1287438025421549569,RT @Connect_IISc: An indigenous #vaccine. Antibody testing kits. Faster &amp; cheaper RT-PCR tests. Mobile diagnostic labs. A #COVID19 test cen…,0,14,Sun Jul 26 17:21:59 +0000 2020
3,1287437839144230912,"RT @v_sanjai: #COVID__19 paranoia.
#tiktoktweets #pandemia #video https://t.co/m8tD3uypyh",0,2,Sun Jul 26 17:21:14 +0000 2020
4,1287437744944189440,RT @SashikumaarG: COVID-19: Summary and Outlook based on our Computational Study https://t.co/d5Xz12gBYf,0,3,Sun Jul 26 17:20:52 +0000 2020
5,1287437664828841985,Kids and COVID-19: Covid-19 triggers Kawasaki Disease like syndrome in kids - looks like another evidence point: 15… https://t.co/62ILK6ZgSU,0,0,Sun Jul 26 17:20:33 +0000 2020
6,1287437536164327426,"RT @BBMPCOMM: BBMP Covid-19 War Room Bulletin dated 26-07-2020
🔹Total Positive Cases : 45453
🔹Total Recovered Cases : 11405
🔹Total Deaths :…",0,2,Sun Jul 26 17:20:02 +0000 2020
7,1287437457714077696,"RT @smsssanjaynpc: Last chance to Register
E-Certificate #webinar Series
Session: #Project #Management made #Easy!
CaseStudy already circul…",0,26,Sun Jul 26 17:19:44 +0000 2020
8,1287436948840132610,"RT @oneindiaHindi: बेंगलुरु में दवा और स्टाफ की कमी COVID-19 के खिलाफ बड़ी चुनौती, 25 दिन में नौ गुना बढ़ा मौत का आंकड़ा
#bengaluru
https:/…",0,2,Sun Jul 26 17:17:42 +0000 2020
9,1287436760830496768,There must be more transparency in use of PM CARES fund created to deal with pandemic | The Indian Express https://t.co/T7rMqG3Rpx,0,0,Sun Jul 26 17:16:57 +0000 2020
10,1287436592680800256,We all know how Kim Jong Un would deal with COVID! It would be no surprise if that patient goes missing the next da… https://t.co/wYc9Q3zDSg,0,0,Sun Jul 26 17:16:17 +0000 2020
11,1287436248840208384,"I think people are not getting it.
The Mask that is being advised against #COVID__19 is one made out of cloth, fabr… https://t.co/397yXKDWWd",0,0,Sun Jul 26 17:14:55 +0000 2020
12,1287436182310096898,"RT @sdpikarnataka: وقف بورڈ سے شوشل ڈیموکریٹک پارٹی آف انڈیا (sdpi) کی ایک دردمندانہ اپیل
ریاست کے تمام ائمہ کرام مدرسین مؤذنین و خطباء کرا…",0,16,Sun Jul 26 17:14:39 +0000 2020
13,1287435839878754304,"RT @MeghanaSastry: The city saw colourful skies and a lot of cyclists on #sundaylockdown 
@XpressBengaluru @NewIndianXpress @santwana99 @sh…",0,17,Sun Jul 26 17:13:18 +0000 2020
14,1287435750527496192,RT @VOSD1: Munni is the grandma of all the doggos at VOSD. She watches over the brats to ensure they behave. But even mommies like being pa…,0,4,Sun Jul 26 17:12:56 +0000 2020
15,1287435659418857472,"RT @oneindiaHindi: बेंगलुरु में दवा और स्टाफ की कमी COVID-19 के खिलाफ बड़ी चुनौती, 25 दिन में नौ गुना बढ़ा मौत का आंकड़ा
#bengaluru
https:/…",0,2,Sun Jul 26 17:12:35 +0000 2020
16,1287435651529375744,"RT @Sayedza66321553: @BSYBJP
@homeminsterofkarnataka
@RAshokaBJP
#imafraud case.
Bsy. Sir Ur promised for poor victim's of ima. U will give…",0,2,Sun Jul 26 17:12:33 +0000 2020
17,1287435444062261248,"बेंगलुरु में दवा और स्टाफ की कमी COVID-19 के खिलाफ बड़ी चुनौती, 25 दिन में नौ गुना बढ़ा मौत का आंकड़ा
#bengaluru
https://t.co/8N7pqFXnmR",5,2,Sun Jul 26 17:11:43 +0000 2020
18,1287435223928463361,RT @TanuKul: A total of 5199 new COVID 19 cases have been reported in Karnataka. This the highest number of cases reported in a single day…,0,8,Sun Jul 26 17:10:51 +0000 2020
19,1287434668183175168,RT @PCMohanMP: PM Shri @narendramodi will inaugurate three high-throughput COVID-19 testing facilities on 27 July 2020 at 4.30 pm via video…,0,4,Sun Jul 26 17:08:38 +0000 2020
20,1287434626638569473,"@AshishJ50016952 We completely understand your concern here. Due to the unfortunate COVID-19 crisis, there is been… https://t.co/sarTshWngE",0,0,Sun Jul 26 17:08:29 +0000 2020
21,1287434366415601665,"RT @TanuKul: A study on disparity in COVID 19 reporting among states and UTs in India,   conducted by researchers from Stanford University…",0,12,Sun Jul 26 17:07:26 +0000 2020
22,1287433989968424961,RT @Drushya_01: So @drashwathcn and @nimmasuresh Karnataka is the second in the country for covid-19 cases and you still want to conduct KC…,0,34,Sun Jul 26 17:05:57 +0000 2020
23,1287433740470296577,"RT @archansr: @narendramodi Sir you have failed miserably in this, now it is as you said JanHaiThoJahanHai.

40+DAYS YOU JUST SLEPT. SINCE…",0,54,Sun Jul 26 17:04:57 +0000 2020
24,1287433562287816705,"RT @Sayedza66321553: @BSYBJP
@homeminsterofkarnataka
@RAshokaBJP
#imafraud case.
Bsy. Sir Ur promised for poor victim's of ima. U will give…",0,2,Sun Jul 26 17:04:15 +0000 2020
25,1287433498974752768,"@BSYBJP
@homeminsterofkarnataka
@RAshokaBJP
#imafraud case.
Bsy. Sir Ur promised for poor victim's of ima. U will g… https://t.co/l7sVCEoes9",1,2,Sun Jul 26 17:04:00 +0000 2020
26,1287432718167371776,"RT @BangaloreMirror: A wedding ceremony in Kasargod district of Kerala saw 43 people, including the bridegroom and the bride, test positive…",0,3,Sun Jul 26 17:00:54 +0000 2020
